Hospital Name,City,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Mortality national comparison,Safety of care national comparison,Readmission national comparison,Patient experience national comparison,Effectiveness of care national comparison,Timeliness of care national comparison,Efficient use of medical imaging national comparison
BEAUMONT HOSPITAL - WAYNE,WAYNE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
FOREST HEALTH MEDICAL CENTER,YPSILANTI,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
HENRY FORD WYANDOTTE HOSPITAL,WYANDOTTE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
BEAUMONT HOSPITAL - FARMINGTON HILLS,FARMINGTON HILLS,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Above the national average
ST JOSEPH MERCY HOSPITAL,ANN ARBOR,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Above the national average,Below the national average,Below the national average,Above the national average,Same as the national average,Below the national average,Same as the national average
ST JOHN HOSPITAL AND MEDICAL CENTER,DETROIT,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
MCLAREN GREATER LANSING,LANSING,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Below the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Below the national average,Below the national average
NORTH OTTAWA COMMUNITY HEALTH SYSTEM,GRAND HAVEN,Acute Care Hospitals,Government - Hospital District or Authority,No,3,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
BEAUMONT HOSPITAL - TRENTON,TRENTON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
MIDMICHIGAN MEDICAL CENTER-CLARE,CLARE,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Not Available,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
MCLAREN LAPEER REGION,LAPEER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average
ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,WARREN,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Below the national average
GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,GRAND BLANC,Acute Care Hospitals,Voluntary non-profit - Church,Yes,2,Above the national average,Below the national average,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average
MCLAREN OAKLAND,PONTIAC,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Below the national average,Below the national average,Below the national average,Below the national average,Same as the national average,Below the national average
SPARROW CARSON HOSPITAL,CARSON CITY,Acute Care Hospitals,Voluntary non-profit - Other,Yes,3,Same as the national average,Not Available,Same as the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
MCLAREN PORT HURON,PORT HURON,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Below the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
OAKLAWN HOSPITAL,MARSHALL,Acute Care Hospitals,Voluntary non-profit - Other,Yes,5,Same as the national average,Same as the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
MIDMICHIGAN MEDICAL CENTER-MIDLAND,MIDLAND,Acute Care Hospitals,Voluntary non-profit - Other,Yes,4,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
MCLAREN MACOMB,MOUNT CLEMENS,Acute Care Hospitals,Proprietary,Yes,2,Same as the national average,Below the national average,Same as the national average,Below the national average,Same as the national average,Below the national average,Below the national average
EDWARD W SPARROW HOSPITAL,LANSING,Acute Care Hospitals,Voluntary non-profit - Other,Yes,2,Below the national average,Below the national average,Below the national average,Below the national average,Above the national average,Below the national average,Above the national average
METRO HEALTH HOSPITAL,WYOMING,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Below the national average,Above the national average,Above the national average,Same as the national average,Above the national average,Same as the national average
CHIPPEWA COUNTY WAR MEMORIAL HOSPITAL,SAULT SAINTE MARIE,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
ST JOHN RIVER DISTRICT HOSPITAL,EAST CHINA,Acute Care Hospitals,Government - Hospital District or Authority,Yes,3,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average,Same as the national average
GARDEN CITY HOSPITAL,GARDEN CITY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,2,Same as the national average,Above the national average,Below the national average,Below the national average,Same as the national average,Below the national average,Same as the national average
CRITTENTON HOSPITAL MEDICAL CENTER,ROCHESTER,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Same as the national average,Same as the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Same as the national average
ST JOSEPH MERCY CHELSEA,CHELSEA,Acute Care Hospitals,Voluntary non-profit - Private,Yes,5,Same as the national average,Above the national average,Above the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
SOUTHEAST MICHIGAN SURGICAL HOSPITAL,WARREN,Acute Care Hospitals,Voluntary non-profit - Private,No,Not Available,Not Available,Not Available,Not Available,Not Available,Same as the national average,Not Available,Not Available
"BEAUMONT HOSPITAL, TROY",TROY,Acute Care Hospitals,Voluntary non-profit - Private,Yes,3,Above the national average,Above the national average,Below the national average,Same as the national average,Same as the national average,Same as the national average,Above the national average
BEAUMONT HOSPITAL - TAYLOR,TAYLOR,Acute Care Hospitals,Voluntary non-profit - Private,Yes,4,Same as the national average,Above the national average,Below the national average,Above the national average,Same as the national average,Same as the national average,Same as the national average
